"IdCampus","NomeCampus","IdModalidade","ModalidadeDescricao","IdGpa","GpaDescricao","IdCurso","CursoDescricao","CursoSigla","TurmaSigla","Semestre","NrSemestre","IdAluno","IdAlunoSemestre","Matricula","Cpf","Nome","DataSemestreAtivacao","DataIngresso","SituacaoAcademica","SituacaoAcademicaSigla","IdPeriodoLetivo","PeriodoLetivoSigla"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS221AN,"6º Semestre",6,142217,698473,"8500300622","83864183029",Ângelo Borges,2024-08-07 00:00:00.000,2022-01-18 17:03:48.490,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS211BN,"8º Semestre",8,112258,705697,"8500301618","38806446229",Leonardo Souza,2024-09-10 20:12:48.413,2018-02-20 21:44:29.547,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS211BN,"8º Semestre",8,122007,702843,"8500300520","32899762019",Yasmin Souza,2024-08-16 00:00:00.000,2020-01-30 14:28:24.757,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS211BN,"8º Semestre",8,124743,698455,"8500300321","98833277595",Vera Gonçalves,2024-07-02 00:00:00.000,2021-01-29 16:59:02.323,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS221AN,"6º Semestre",6,349586,703092,"8500302624","85861123642",Leandro Gomes,2024-08-14 21:03:51.197,2024-08-14 20:56:26.217,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS221AN,"6º Semestre",6,142259,698451,"8500300822","42619231169",Evandro Borges,2024-07-05 00:00:00.000,2022-01-22 11:20:18.223,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS221AN,"6º Semestre",6,143264,704962,"8500301922","67238491057",Marília Pera,2024-09-06 14:09:53.183,2022-03-07 08:44:52.297,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS232AN,"3º Semestre",3,181156,698461,"8500301923","36964440738",Wagner Moreira,2024-07-03 00:00:00.000,2023-06-28 18:10:39.050,Transferência Interna - Saída,TS ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS232AN,"3º Semestre",3,278124,698460,"8500301824","81370459268",Fernando Montenegro,2024-07-31 00:00:00.000,2024-02-22 18:09:14.940,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS222AN,"5º Semestre",5,143258,703877,"8500301822","12529562120",Osvaldo Borges,2024-08-22 19:17:47.630,2022-03-05 10:03:08.597,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS221AN,"6º Semestre",6,144984,698478,"8500304722","82829656729",Isabela Rocha,2024-07-12 00:00:00.000,2022-08-23 19:13:46.273,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS221AN,"6º Semestre",6,143375,706288,"8500302522","19627458310",Sônia Braga,2024-09-20 20:54:36.567,2022-03-10 19:19:33.043,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS221AN,"6º Semestre",6,143639,698468,"8500303122","27458610349",Mariana Xavier,2024-08-07 00:00:00.000,2022-03-28 18:10:45.750,Ativo,AT ,1704,"2024/2"
1,UNIVAG Sede,1,Educação Presencial,1,Ciências Sociais Aplicadas,26,Sistemas de Informação,SIS,SIS222AN,"5º Semestre",5,144427,701526,"8500303522","68420319572",Luiz Carlos Miele,2024-08-01 10:51:23.787,2022-07-28 20:07:06.323,Ativo,AT ,1704,"2024/2"
