"firstname","lastname","email","username"
Alessandra,Freire,alessandrafreire547@univag.edu.br,"53055597939"
Leandro,Gomes,leandrogomes784@univag.edu.br,"85861123642"
Augusto,Costa,augustocosta1444@univag.edu.br,"38027767562"
Bruna,Souza,brunasouza2834@univag.edu.br,"93564214606"
Evandro,Borges,evandroborges2874@univag.edu.br,"42619231169"
Wallace,Martins,wallacemartins2876@univag.edu.br,"96341509709"
Marília,Pera,maríliapera2887@univag.edu.br,"67238491057"
Yasmin,Souza,yasminsouza2895@univag.edu.br,"32899762019"
Xuxa,Santos,xuxasantos2896@univag.edu.br,"77155458774"
Daniela,Freire,danielafreire2910@univag.edu.br,"14641017477"
Lucas,Ribeiro,lucasribeiro2923@univag.edu.br,"68499422746"
Natália,Azevedo,natáliaazevedo2925@univag.edu.br,"38112643911"
Leonardo,Souza,leonardosouza2926@univag.edu.br,"38806446229"
Xavier,Souza,xaviersouza2927@univag.edu.br,"79377164870"
Ângelo,Borges,ângeloborges2934@univag.edu.br,"83864183029"
Cícero,Teixeira,cíceroteixeira2946@univag.edu.br,"19726949142"
Tatiane,Souza,tatianesouza2947@univag.edu.br,"40458395920"
Wagner,Moreira,wagnermoreira2984@univag.edu.br,"36964440738"
Raquel,Pereira,raquelpereira4310@univag.edu.br,"39140419115"
Fábio,Batista,fábiobatista4533@univag.edu.br,"69085281320"
Otília,Gomes,otíliagomes4644@univag.edu.br,"56085535658"
Carlos,Almeida,carlosalmeida4707@univag.edu.br,"59302682718"
Tadeu,Silva,tadeusilva4941@univag.edu.br,"70949713661"
Kleber,Monteiro,klebermonteiro4974@univag.edu.br,"71251910364"
Fernando,Montenegro,fernandomontenegro5064@univag.edu.br,"81370459268"
João,Mendes,joãomendes5213@univag.edu.br,"82146373052"
Vera,Gonçalves,veragonçalves5235@univag.edu.br,"98833277595"
Beatriz,Teixeira,beatrizteixeira5359@univag.edu.br,"93350523566"
Osvaldo,Borges,osvaldoborges5415@univag.edu.br,"12529562120"
Zuleica,Teixeira,zuleicateixeira5430@univag.edu.br,"56564860975"
Helena,Souza,helenasouza5438@univag.edu.br,"38417845539"
Isabela,Rocha,isabelarocha5637@univag.edu.br,"82829656729"
Sônia,Braga,sôniabraga5664@univag.edu.br,"19627458310"
Sofia,Melo,sofiamelo5773@univag.edu.br,"75371076354"
Fernando,Lima,fernandolima5939@univag.edu.br,"64472255150"
Mariana,Xavier,marianaxavier6056@univag.edu.br,"27458610349"
Túlio,Silva,túliosilva6097@univag.edu.br,"28871381685"
Luís,Castro,luíscastro6421@univag.edu.br,"16193717613"
Ulisses,Nascimento,ulissesnascimento6429@univag.edu.br,"44610381418"
